submission_id, submission_smiles
95323f67-a77a-4c5f-b062-e2bf8771248d, N1C=CC(C)=C(NS(=O)(=O)/C=C/NC(=O)C2=CC=CS2)C=1
9315dc74-9e95-4a10-a07e-c9aeca4d4ab5, N1C=CC(C)=C(NS(=O)(=O)/C=C/NC(=O)C2=CC=CS2)C=1
903735bd-b0d8-49f0-b763-d41aad884888, C1(=CC(=CC2=C1[N](C=C2CCN(C(C)=O)[H])[H])F)CN3CCC(CC3)O[H]
8e98219b-ae66-44b2-acef-a82b4346cca8, CC(=O)N1CCN(CNC(=N)NC2=CSC(Cl)=C2)CC1
8d53fd73-790d-4294-aeb5-5011d346d0c1, CS(NC[C@H](C(NC1C(C)=CC=NC=1)=O)C1C=CC=CC=1)(=O)=O
89deb5c9-aaf3-47f3-b105-8192943b0ec8, [N@H+]1(CCN(C(CCl)=O)CCC1)CCC1C=C(S(N)(=O)=O)C=CC=1Br
891393a6-e387-4c4c-8a4d-31a888052892, COC1C=C(Cl)C=C(OC(NC2C=NC=CC=2)=O)C=1
880f6604-8d08-4993-930a-a36e56205749, C1=CC(Cl)=CC2=NC=CC(NCCNC(=O)NC3=CC=C(F)C=C3)=C12
842b4336-52ca-4c6b-8ce6-32b358f4f1b3, O=C(CC1SC(Cl)=CC=1)NC1C=CC=NC=1
83e03154-66a2-426d-9593-28c26c0293e6, C1(=CC(=CC2=C1[N](C=C2C=CN(C(C)=O)[H])[H])F)CN3CCC(CC3)O[H]
83a5a839-b57f-474c-943e-a7264e0c1d40, N1=C(N2C3C=CC(NS(C)(=O)=O)=CC=3C(=O)N(C3C=C([NH3+])C=NC=3)C2=O)NC=C1
817c14da-8b08-48c1-927d-8d981b8dd4d5, CC(C1N=C(N(C(NC2=C(C)N=CC=C2CN2CCOCC2)=O)CC2N=C(C#C)C=CN=2)N=CC=1)C
7f77122c-cc25-445a-9997-222238b41225, O=C1NC2N(C(=O)NC(C=2N1C1C=NC=CC=1)=O)CC1C=CC=CC=1
7eb4e0c3-ee0f-4428-9ff1-98a8556afc9f, CNC(=O)N=[S@@](=O)(C1N=CC(=CC=1)C(=O)OC)C
7d12df64-958a-4e9d-ae4c-327dea11062e, CC(=O)N1CCN(CC1)CC1C=C(Cl)C=CC=1NC(=O)C
7b3d3065-7119-4dff-b3fd-df4d793955e8, CC(N(C(C1CCN(C(CCl)=O)CC1)=O)C)C
74f994a9-1105-439b-9ace-92668cae352a, C1=C(CN2CCC(C#N)CC2)C=C(C)C=C1
71f25a82-3f8d-412e-8f87-e4c4dd9f66f6, N[C@H](CC1C2C=CC=CC=2NC=1)C(=O)NN(CC1C=CC=CC=1)C(=O)N[C@H](CC1C2C=CC=CC=2NC=1)C(=O)O
714a760b-0e02-4b09-8736-f27f854f8c22, O=C(CC1C=CC=CC=1)NC1C(C)=C(N)C=NC=1
70e4c98a-8e83-4656-81a4-5780985194f1, O=C(NC1=CC=CN=C1)CC2(CCCC2)OC3=CC=CC=C3
7098f804-b66c-4fb6-89f4-8e4e0c78a7cb, O=C(NC1C=CC=NC=1)C1=CC(Cl)=CC=C1C1C=CC(S(=O)(N)=O)=CC=1
