submission_id, submission_smiles
a5f8a8b9-3fb6-4a13-94e2-52b0fadf300d, N[C@H](C(NCC(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC1C=CC=CC=1)=O)=O)CO
a3e47117-ffcd-4bd6-9f13-6318cf3b1aa1, CC1C=CN=CC=1NC(=O)C[C@H]1[C@@H](C2C=CSC=2)[C@@H](C(=O)N)CC1
a1be81af-ddd9-4c01-8546-0400b9ee4a4e, O=C1NC[C@H](C(C[C@H]2C[C@@H](C3C=CC=CC=3)N(NC3C=CC=CC=3)CC2)=O)CC1
a04c1544-97ec-421f-aa77-7e11c954c4f8, COC([C@@H](NC([C@@H](NC(OCC1C=CC=CC=1)=O)CC1C=CC=CC=1)=O)CO)=O
9edebd8f-054f-41ec-952c-6c8905dd61f8, C1=C2C(CCNC(=O)C)=CNC2=C(CCNS(=O)(=O)C)C=C1
9d245c51-111a-4566-8d06-001e1834bd55, COC1N=C(CN(C2N=CC=C(C)C=2)C(NC2C(C=C)=NC=C(C)C=2CCNC(=O)C)=O)N=CN=1
9a76d7b5-c481-48ba-86bc-155635d68654, C1C2[C@]3(N[C@@H](CCC(N)=O)[C@H]4C(N(CC5C=C6OCOC6=CC=5)C([C@@H]34)=O)=O)C(=O)NC=2C(Cl)=CC=1
99f25457-1a81-4d52-9016-814e9f4f52d4, ClCC(=O)NCC1C(C2CCCC2C(=O)N)=CC=CC=1
995df016-6e6f-4488-b3fc-fdb67ea1871a, C1CC(C(=O)SCF)CCN1C(=O)C1=CC=CC=C1F
97428359-b6ae-4c5a-a83a-a96ce443bb25, O=C(NCCN1CCN(C2C=CC=CC=2)CC1)NCC1N=CC=CC=1
972ef1cc-c982-4e98-8f85-722ab0ff6735, ClCC(=O)N1CC(C2NC3CCC(CC=3C=2)CN)CCC1
9564ba6c-4fb2-4138-ae1e-3b340ce9e064, CC1C=CC(N([C@H](C2C=CC(O)=CC=2)C(NC2CCCCC2)=O)C([C@@H]2C(C)(C)S(=O)(=O)[C@@H]3N2C(C3)=O)=O)=CC=1
95323f67-a77a-4c5f-b062-e2bf8771248d, N1C=CC(C)=C(NS(=O)(=O)CC2C=C(C3=CC=CS3)C(OC)=CN=2)C=1F
9315dc74-9e95-4a10-a07e-c9aeca4d4ab5, N1C(F)=C(NS(/C=C/NC(C2SC=CC=2)=O)(=O)=O)C(C)=CC=1
9159f8ed-0ecf-4595-9756-c136bb7759c8, C1=CC=C(NC(COC(=O)C2=CC=CC(NS(C)(=O)=O)=C2)=O)C=C1N1C(=O)CCC1
90aed325-ea89-494d-ae23-e63c1f0a7c7f, CS(=O)(=O)NCCC1C(NCC)=NC=C(C#N)C=1
908c18f3-ab4b-476c-95b6-b4d6bffa6005, O=S(=O)(N)C1C=CC2CCCN(C=2C=1)CCN1CCC(O)CC1
903735bd-b0d8-49f0-b763-d41aad884888, C1(=CC(=CC2=C1[N](C=C2CCN(C(C)=O)[H])[H])F)CN3CCC(CC3)O[H]
8e98219b-ae66-44b2-acef-a82b4346cca8, CC(=O)N1CCN(CNC(=N)NC2=CSC(Cl)=C2)CC1
8e85e675-5205-4b73-a662-070a9aa34779, [C@@H]1(CC[C@@H](CN(CC)CC2C=CON=2)C1)C(N)=O
8d53fd73-790d-4294-aeb5-5011d346d0c1, CS(NC[C@H](C(NC1C(C)=CC=NC=1)=O)C1C=CC=CC=1)(=O)=O
8c8dd668-6ccd-4296-927f-9e29d70b0ecc, ClCC(=O)N1CC(C2C=CC=CC=2)C2C=CC=CC=2C1C1C=CC=C(N2C(=O)CCC2)C=1
89deb5c9-aaf3-47f3-b105-8192943b0ec8, [N@H+]1(CCN(C(CCl)=O)CCC1)CCC1C=C(S(N)(=O)=O)C=CC=1Br
891393a6-e387-4c4c-8a4d-31a888052892, OC1C=C(Cl)C=C(OC(NC2C=NC=CC=2)=O)C=1
880f6604-8d08-4993-930a-a36e56205749, C1=CC(Cl)=CC2=NC=CC(NCCNC(=O)NC3=CC=C(F)C=C3)=C12
85e821e4-bb14-4321-9828-a8b294eb07d1, CS(=O)(=O)NCCC1C2C=CC(=CC=2C=CC=1)S(=O)(=O)N
8431cefe-590f-4ed6-b5e5-4abd30a376b1, O=C(O)CCC1C(=O)NC(C(C2C=CC=CC=2)C2CCCCC2)C(=O)NC(C2C3=C(NC=C3)C=NC=2)C(=O)NC(C2CC2)C(=O)NC(C(O)C)C(=O)N1
842b4336-52ca-4c6b-8ce6-32b358f4f1b3, O=C(NC1C=NC=CC=1)CC1=CC=C(C)S1
83e03154-66a2-426d-9593-28c26c0293e6, C1(=CC(=CC2=C1[N](C=C2C=CN(C(C)=O)[H])[H])F)CCN([S](C)(=O)=O)[H]
83d43576-5839-4213-a708-4c9aa03db0d2, CC1C=CN=CC=1NC(=O)CCC1C(Br)=CC=C(S(=O)(N)=O)C=1
